"Date"	"P"	"Q"	"E"
1975-06-08	0.11	118.348	12.29
1975-06-09	1.17	97.619	13.02
1975-06-10	0.05	91.903	13.97
1975-06-11	2.74	129.485	9.24
1975-06-12	8.43	176.37	8.12
1975-06-13	6.69	145.425	10.92
1975-06-14	0.88	143.326	11.6
1975-06-15	1.97	130.335	11.29
1975-06-16	2.59	115.52	11.29
1975-06-17	0.55	109.468	11.09
1975-06-18	0.17	107.287	10.52
1975-06-19	0.02	103.393	11.06
1975-06-20	0.36	96.601	11.47
1975-06-21	0	91.83	12.11
1975-06-22	0.02	89.857	14.92
1975-06-23	0	88.029	14.64
1975-06-24	0.11	87.653	12.64
1975-06-25	0.19	84.756	11.57
1975-06-26	0.07	83.183	12.14
1975-06-27	0.56	88.488	12.47
1975-06-28	5.58	102.731	10.67
1975-06-29	4.07	102.686	9.88
1975-06-30	6.16	96.081	10.29
1975-07-01	0	94.063	10.23
1975-07-02	0	93.07	11.81
1975-07-03	0.02	91.133	11.3
1975-07-04	0.56	88.675	8.95
1975-07-05	9.41	87.757	5.2
1975-07-06	13.44	103.486	6.54
1975-07-07	15.32	129.116	6.56
1975-07-08	6.21	169.95	8.25
1975-07-09	4.15	182.116	10.92
1975-07-10	2.47	131.822	11.33
1975-07-11	16.08	115.187	9.51
1975-07-12	9.77	149.922	10.65
1975-07-13	20.89	178.755	11.92
1975-07-14	18.77	311.654	8.54
1975-07-15	6.62	305.884	8.98
1975-07-16	5.26	232.066	8.25
1975-07-17	0.05	215.387	9.84
1975-07-18	0.07	178.768	10.15
1975-07-19	1.47	153.538	10.17
1975-07-20	2.24	142.19	10.14
1975-07-21	2.82	142.251	11.77
1975-07-22	0.29	132.774	14.23
1975-07-23	0.49	126.557	15.63
1975-07-24	0.55	119.777	12.52
1975-07-25	2.6	113.391	13.94
1975-07-26	0.78	118.421	14.84
1975-07-27	0	117.56	15.59
1975-07-28	0.02	110.44	18.99
1975-07-29	0.77	104.259	17.08
1975-07-30	0.29	100.818	18.04
1975-07-31	12.28	101.511	9.75
1975-08-01	12.64	148.266	9.87
1975-08-02	6.45	176.28	8.61
1975-08-03	31.82	118.078	6.86
1975-08-04	12.08	309.637	8.74
1975-08-05	5.77	211.486	9.04
1975-08-06	4.97	173.622	9.99
1975-08-07	1.11	168.177	11.53
1975-08-08	0.97	151.021	11.89
1975-08-09	0	136.18	13.58
1975-08-10	5.62	127.803	13.17
1975-08-11	33.39	125.779	9.02
1975-08-12	21.83	293.708	9.54
1975-08-13	6.9	395.298	10.29
1975-08-14	0.32	220.423	10.26
1975-08-15	0.32	185.404	11.17
1975-08-16	0.15	164.741	10.42
1975-08-17	0.02	153.795	11.47
1975-08-18	1.82	147.427	11.07
1975-08-19	5.08	142.69	12.51
1975-08-20	7.35	160.104	10.63
1975-08-21	15.04	161.145	8.92
1975-08-22	23.12	368.856	8.48
1975-08-23	20	398.986	10.51
1975-08-24	9.75	482.375	10.79
1975-08-25	11.3	415.421	11.34
1975-08-26	7.47	281.658	12.63
1975-08-27	15.99	258.912	10.39
1975-08-28	19.22	355.182	8.94
1975-08-29	11.59	490.865	10.3
1975-08-30	7.29	337.592	10.93
1975-08-31	4.28	325.69	10.52
1975-09-01	0	258.537	12.68
1975-09-02	3.9	226.35	13.65
1975-09-03	22.78	407.771	9.69
1975-09-04	16.16	504.072	8.37
1975-09-05	14.16	380.706	10.6
1975-09-06	1.21	297.936	11.94
1975-09-07	1.39	285.261	14.37
1975-09-08	1.08	257.752	14.34
1975-09-09	0	251.446	18.12
1975-09-10	0	239.947	18.06
1975-09-11	0	228.47	19.14
1975-09-12	0	217.685	20.31
1975-09-13	19.06	332.83	13.83
1975-09-14	20.3	329.531	17.67
1975-09-15	11.4	238.752	19.39
1975-09-16	7.76	278.673	14.7
1975-09-17	23.79	359.891	21.27
1975-09-18	24.75	450.203	13.37
1975-09-19	12.39	334.176	12.2
1975-09-20	10.41	374.339	13.25
1975-09-21	3.48	312.262	13.26
1975-09-22	18.19	364.609	15.4
1975-09-23	12.83	402.777	12.89
1975-09-24	6.48	308.552	14.28
1975-09-25	0	280.942	14.98
1975-09-26	0	267.043	15.68
1975-09-27	0.01	258.874	15.7
1975-09-28	22.11	346.859	15.9
1975-09-29	4.48	261.35	12.42
1975-09-30	1.3	247.56	12.32
1975-10-01	0.05	239.625	12.42
1975-10-02	2.46	239.503	11.9
1975-10-03	11.87	233.342	13.8
1975-10-04	3.07	267.53	16.05
1975-10-05	0	247.836	17.29
1975-10-06	0.27	220.444	18.6
1975-10-07	7.73	213.206	16.39
1975-10-08	40.3	232.112	14.15
1975-10-09	6.89	461.926	17.27
1975-10-10	10.49	361.264	15.93
1975-10-11	5.14	318.733	12.72
1975-10-12	15.76	322.527	11.34
1975-10-13	12.37	383.707	12.35
1975-10-14	5.59	398.912	13.66
1975-10-15	10.31	349.452	13.13
1975-10-16	0.83	332.398	12.45
1975-10-17	4.24	301.195	12.56
1975-10-18	0.07	303.335	16.05
1975-10-19	0	276.302	17.22
1975-10-20	1.99	263.284	19.28
1975-10-21	22.48	259.322	13.82
1975-10-22	8.35	317.251	16.41
1975-10-23	1.52	311.939	16.79
1975-10-24	11.27	264.632	17.33
1975-10-25	20.98	322.532	11.47
1975-10-26	32.96	532.66	14.22
1975-10-27	27.63	887.727	18.03
1975-10-28	0	610.931	21.16
1975-10-29	0.13	407.323	23.31
1975-10-30	9.4	367.176	18.16
1975-10-31	31.9	389.888	16.33
1975-11-01	14.7	545.2	14.2
1975-11-02	0.7	413.191	17.65
1975-11-03	6.49	392.337	17.57
1975-11-04	14.6	426.036	14.77
1975-11-05	17.78	442.526	14.97
1975-11-06	24.22	619.663	14.51
1975-11-07	24.93	535.314	14.73
1975-11-08	0.94	443.639	16.34
1975-11-09	0.63	401.126	14.8
1975-11-10	1.31	381.83	20.21
1975-11-11	0	359.833	21.57
1975-11-12	0	347.981	22.51
1975-11-13	0	336.645	24.78
1975-11-14	0.02	325.243	22.36
1975-11-15	0.36	319.314	24.21
1975-11-16	0.41	331.641	25.84
1975-11-17	0.36	316.11	24.78
1975-11-18	0	293.342	26.12
1975-11-19	0.04	280.031	29.25
1975-11-20	0.77	273.832	22.5
1975-11-21	6.27	284.505	20.6
1975-11-22	0.28	271.661	24.35
1975-11-23	3.38	327.006	18.27
1975-11-24	18.95	308.949	21.09
1975-11-25	1.94	264.325	17.82
1975-11-26	3.67	269.641	16.82
1975-11-27	0	251.657	23.34
1975-11-28	0	240.759	28.24
1975-11-29	0	234.16	29.42
1975-11-30	0.02	227.339	31.67
1975-12-01	0.06	220.587	30.67
1975-12-02	0	223.619	30.12
1975-12-03	13.99	219.102	24.52
1975-12-04	43.84	378.021	18.62
1975-12-05	5.07	434.813	24.97
1975-12-06	3.66	254.491	23.92
1975-12-07	3.14	263.687	27.37
1975-12-08	2.2	250.064	28.89
1975-12-09	0	227.384	25.27
1975-12-10	0	215.318	27.25
1975-12-11	0	209.128	34.87
1975-12-12	0	199.6	35.05
1975-12-13	7.43	189.557	16.32
1975-12-14	15.75	201.919	19.89
1975-12-15	21.51	264.026	23.16
1975-12-16	0.9	260.47	25.91
1975-12-17	0.56	216.348	18.71
1975-12-18	1.73	198.338	18.22
1975-12-19	8.53	202.087	18.26
1975-12-20	0	230.192	22.55
1975-12-21	0	193.993	24.56
1975-12-22	0	188.21	26.48
1975-12-23	0.12	181.389	23.6
1975-12-24	0	175.311	24.27
1975-12-25	0	173.171	26.14
1975-12-26	0	168.834	26.49
1975-12-27	0	165.306	25.28
1975-12-28	0	161.167	23.35
1975-12-29	13.29	157.791	25.56
1975-12-30	20.52	240.332	23.94
1975-12-31	5.88	310.95	26.67
1976-01-01	0	181.333	28.43
1976-01-02	0	174.038	27.37
1976-01-03	0	163.947	32.16
1976-01-04	0	158.076	36.44
1976-01-05	6.46	151.149	17.99
1976-01-06	0	157.376	23.58
1976-01-07	0.02	158.49	26.71
1976-01-08	0	153.185	27.33
1976-01-09	12.19	150.22	18.23
1976-01-10	0.02	169.085	23.81
1976-01-11	0	153.751	22.38
1976-01-12	1.19	143.589	20.99
1976-01-13	4.42	147.858	24.87
1976-01-14	2.28	171.483	26.91
1976-01-15	2.96	145.204	20.35
1976-01-16	1.9	148.109	22.71
1976-01-17	0	142.542	26.92
1976-01-18	0	129.797	29.17
1976-01-19	0	126.694	29
1976-01-20	0	123.416	25.86
1976-01-21	0	118.855	22.13
1976-01-22	0.09	118.027	20.84
1976-01-23	0.02	121.519	24.12
1976-01-24	0	120.403	22.89
1976-01-25	1.23	118.743	17.57
1976-01-26	13.36	126.368	17.58
1976-01-27	0.24	158.22	22.19
1976-01-28	0.43	128.544	26.15
1976-01-29	0	121.401	28.96
1976-01-30	0	118.04	31.28
1976-01-31	0.14	116.791	31.27
1976-02-01	0.26	120.522	22.62
1976-02-02	3.46	106.65	25.11
1976-02-03	0	102.734	28.37
1976-02-04	0	100.133	29.22
1976-02-05	0	99.142	28.46
1976-02-06	0	97.089	29.93
1976-02-07	0	94.123	28.6
1976-02-08	0.05	94.328	26.61
1976-02-09	0.92	97.998	22.77
1976-02-10	0	95.714	25.21
1976-02-11	0	93.654	24.15
1976-02-12	0	92.458	26.57
1976-02-13	0	90.787	28.77
1976-02-14	0	89.398	31.42
1976-02-15	0	88.02	27.97
1976-02-16	0	85.808	31.97
1976-02-17	0.03	86.491	33.21
1976-02-18	0.73	96.652	26.18
1976-02-19	3.11	92.504	22.33
1976-02-20	2.83	86.244	24.78
1976-02-21	0	83.663	28.77
1976-02-22	0	81.732	29.31
1976-02-23	0.71	82.364	28.38
1976-02-24	0.16	82.22	27.03
1976-02-25	0.7	79.924	27.97
1976-02-26	0	77.581	30.04
1976-02-27	0	76.052	30.57
1976-02-28	0	98.401	28.41
1976-02-29	1.61	179.997	19.99
1976-03-01	22.5	179.997	20.63
1976-03-02	0	145.839	25.01
1976-03-03	0	99.236	24.52
1976-03-04	0	90.259	23.17
1976-03-05	0	85.562	22.61
1976-03-06	0	80.75	22.15
1976-03-07	0	79.576	21.65
1976-03-08	0	80.852	24.89
1976-03-09	0	81.318	27.81
1976-03-10	0	77.716	22.85
1976-03-11	0	76.787	23.21
1976-03-12	0	77.976	27.6
1976-03-13	0	76.71	27.31
1976-03-14	0	76.42	28.34
1976-03-15	0	74.338	29.09
1976-03-16	3.81	72.546	29.03
1976-03-17	2.74	70.918	27.74
1976-03-18	0	75.522	28.46
1976-03-19	3.36	73.311	25.62
1976-03-20	0.72	72.154	19.25
1976-03-21	0.31	72.236	16.64
1976-03-22	1.05	73.913	19.95
1976-03-23	0	81.617	23.6
1976-03-24	0	75.919	23.86
1976-03-25	0	71.492	25.02
1976-03-26	0	70.545	24.81
1976-03-27	0.09	69.627	20.22
1976-03-28	2.03	68.415	23.81
1976-03-29	0.08	72.558	21.36
1976-03-30	0.86	70.273	20.15
1976-03-31	0	73.195	21.52
1976-04-01	0	68.834	23.87
1976-04-02	0	65.671	25.92
1976-04-03	0	65.521	24.29
1976-04-04	0.17	64.7	22.93
1976-04-05	10.77	79.52	15.16
1976-04-06	3.81	102.829	16.1
1976-04-07	4.69	86.479	18.3
1976-04-08	0	79.027	18.35
1976-04-09	0	72.752	20.88
1976-04-10	0	70.503	20.73
1976-04-11	0	69.187	20.42
1976-04-12	0	68.436	20.5
1976-04-13	0	68.035	22.07
1976-04-14	0	66.968	21.43
1976-04-15	0.24	66.732	24.13
1976-04-16	0	65.642	22.61
1976-04-17	0	64.131	22.39
1976-04-18	0	62.992	18.16
1976-04-19	0.75	66.233	16.16
1976-04-20	0	63.851	17.46
1976-04-21	0	64.531	14.22
1976-04-22	1.51	76.441	14.15
1976-04-23	3.63	70.335	15.13
1976-04-24	1.44	77.43	17.18
1976-04-25	0.01	74.832	17.94
1976-04-26	0.92	68.042	15.57
1976-04-27	1.49	68.49	10.55
1976-04-28	10.47	77.02	11.15
1976-04-29	5.41	103.255	10.79
1976-04-30	8.3	96.561	13.86
1976-05-01	0.1	83.629	16.67
1976-05-02	0	76.444	18.89
1976-05-03	0.17	70.149	20.3
1976-05-04	1.44	67.535	13.28
1976-05-05	6.79	66.412	13.41
1976-05-06	0.34	72.589	14.96
1976-05-07	0.28	82.005	15.1
1976-05-08	0.44	71.302	13.74
1976-05-09	0.04	68.902	14.65
1976-05-10	0.7	68.842	14.63
1976-05-11	0.02	67.501	13.55
1976-05-12	0.1	66.78	15.85
1976-05-13	0	66.694	15.77
1976-05-14	0.02	65.82	15.76
1976-05-15	0	65.709	16.85
1976-05-16	0.23	66.27	13.82
1976-05-17	8.31	67.661	12.24
1976-05-18	1.7	79.757	11.7
1976-05-19	7.09	82.579	13.21
1976-05-20	0.02	93.985	12.21
1976-05-21	0.05	80.185	15.34
1976-05-22	0.82	71.224	11.64
1976-05-23	4.48	69.329	11.38
1976-05-24	11.73	87.914	9.94
1976-05-25	3.02	114.45	10.77
1976-05-26	6.97	92.666	12.42
1976-05-27	0.12	98.596	10.71
1976-05-28	0.05	90.38	11.07
1976-05-29	0	76.052	11.85
1976-05-30	0	72.247	13.24
1976-05-31	0	69.75	14.48
1976-06-01	0.65	66.136	16.88
1976-06-02	14.79	98.936	8.91
1976-06-03	0.91	90.643	8.87
1976-06-04	8.07	102.868	9.62
1976-06-05	0.73	85.45	10.22
1976-06-06	1.73	78.557	11.55
1976-06-07	17.21	127.971	8.68
1976-06-08	12.8	183.013	11.28
1976-06-09	18.96	265.472	12.57
1976-06-10	3.8	219.626	11.56
1976-06-11	6.5	142.688	11.72
1976-06-12	0	106.639	11.37
1976-06-13	0	91.978	6.95
1976-06-14	0.52	88.005	10.91
1976-06-15	0.39	82.446	10.61
1976-06-16	0.58	80.536	10.91
1976-06-17	3.89	88.637	10.79
1976-06-18	1.73	84.468	11.45
1976-06-19	0.02	79.182	10.89
1976-06-20	0	76.012	12.2
1976-06-21	0.06	73.435	12.37
1976-06-22	0	72.7	12.64
1976-06-23	0.26	71.957	12.91
1976-06-24	1.22	73.69	12.21
1976-06-25	6.55	84.901	15.65
1976-06-26	1.41	75.18	12.83
1976-06-27	3.02	79.04	9.28
1976-06-28	16.9	156.773	9.31
1976-06-29	2.37	114.529	8.44
1976-06-30	3.7	90.535	11.45
1976-07-01	0	86.333	10.62
1976-07-02	0.18	81.992	10.06
1976-07-03	1.49	77.44	7.66
1976-07-04	13.99	74.838	8.68
1976-07-05	7.01	123.851	7.94
1976-07-06	5.32	110.707	7.99
1976-07-07	6.06	112.313	11.47
1976-07-08	0.64	105.218	10.41
1976-07-09	0.05	91.714	6.31
1976-07-10	0	87.236	6.09
1976-07-11	1.29	84.948	10.48
1976-07-12	0.59	84.842	11.34
1976-07-13	0	81.978	10.86
1976-07-14	0.02	79.128	9.85
1976-07-15	3.01	79.333	9.53
1976-07-16	4.1	93.339	9.37
1976-07-17	0.06	107.136	10.57
1976-07-18	0.07	86.935	11.02
1976-07-19	1.95	81.577	12.49
1976-07-20	0.1	83.467	9.42
1976-07-21	1.96	82.295	9.76
1976-07-22	0.51	85.329	10.61
1976-07-23	0	80.214	12.96
1976-07-24	0.02	77.77	13.65
1976-07-25	0	75.736	14.41
1976-07-26	0	73.494	9.58
1976-07-27	0	71.703	10.34
1976-07-28	1.1	69.87	9.91
1976-07-29	7	69.77	9.37
1976-07-30	16.89	87.353	8.83
1976-07-31	7.91	181.206	11.08
1976-08-01	25.11	120.564	6.64
1976-08-02	38.02	277.494	7.35
1976-08-03	7.6	458.607	8.16
1976-08-04	5.45	310.96	7.78
1976-08-05	3.86	202.693	12.49
1976-08-06	15.08	153.969	8.75
1976-08-07	11.99	224.221	8.67
1976-08-08	15.75	282.069	11.89
1976-08-09	21.55	508.29	11.44
1976-08-10	5.4	276.067	12.4
1976-08-11	6.54	214.677	9.93
1976-08-12	7.65	203.767	8.9
1976-08-13	29.66	282.189	8.15
1976-08-14	0.11	444.107	10.01
1976-08-15	0	232.791	9.99
1976-08-16	0.07	193.131	10.2
1976-08-17	1.18	173.468	11.81
1976-08-18	8.17	176.41	12
1976-08-19	0.01	191.852	12.81
1976-08-20	0	151.379	14.86
1976-08-21	0	139.796	17.72
1976-08-22	1	126.965	19.86
1976-08-23	14.49	138.457	10.11
1976-08-24	5.08	190.584	10.11
1976-08-25	3.36	136.833	11.41
1976-08-26	0	124.508	11.05
1976-08-27	0.43	121.283	12.14
1976-08-28	0.02	115.517	13.36
1976-08-29	0.55	112.923	13.85
1976-08-30	0	111.48	15.51
1976-08-31	0.24	108.847	17.81
1976-09-01	1.98	116.631	10.66
1976-09-02	7.87	154.499	14.31
1976-09-03	12.76	140.693	13.26
1976-09-04	6.16	132.256	11
1976-09-05	3.78	117.36	12.01
1976-09-06	5.96	106.083	13.01
1976-09-07	0.07	108.871	13.83
1976-09-08	0.61	159.97	14.2
1976-09-09	13.46	349.512	9.21
1976-09-10	24.89	330.968	11.86
1976-09-11	11.18	274.031	10.21
1976-09-12	8.39	261.24	10.34
1976-09-13	15.17	218.08	10.71
1976-09-14	0.93	196.714	12.43
1976-09-15	0.81	168.794	14.28
1976-09-16	0.01	154.56	14.81
1976-09-17	0.25	146.526	13.77
1976-09-18	0	140.482	17.21
1976-09-19	0.25	134.879	20.91
1976-09-20	12.77	197.708	16.43
1976-09-21	36.59	384.958	13.32
1976-09-22	13.8	208.17	11.68
1976-09-23	15.18	328.562	12.26
1976-09-24	8.82	232.487	10.06
1976-09-25	0.01	190.281	13.52
1976-09-26	0.06	172.392	15.44
1976-09-27	0	163.361	17.02
1976-09-28	0	153.119	19.03
1976-09-29	0.25	147.979	20.65
1976-09-30	0.74	143.358	18.21
1976-10-01	9.25	143.647	15.01
1976-10-02	1.14	171.788	15.91
1976-10-03	8.76	143.307	18.24
1976-10-04	6.93	165.031	19.4
1976-10-05	5.26	169.455	17.79
1976-10-06	8.88	160.69	14.29
1976-10-07	10.07	201.431	13.29
1976-10-08	26.5	262.375	11.48
1976-10-09	6.09	351.576	11.54
1976-10-10	0.66	301.016	12.65
1976-10-11	8.02	241.922	12.81
1976-10-12	0	203.473	14.88
1976-10-13	0.23	180.033	10.62
1976-10-14	1.08	168.029	12.42
1976-10-15	17.87	171.331	10.96
1976-10-16	10.55	270.971	12.92
1976-10-17	0.28	291.104	14.71
1976-10-18	4.13	204.833	13.36
1976-10-19	0.04	186.412	14.22
1976-10-20	0.08	171.594	16.09
1976-10-21	0.91	162.107	17.1
1976-10-22	11.39	158.751	16.31
1976-10-23	0.15	203.459	17.21
1976-10-24	0.94	166.802	16.1
1976-10-25	1.57	157.386	16.16
1976-10-26	0.16	169.042	16.44
1976-10-27	0.12	147.511	16.11
1976-10-28	0	143.253	17.83
1976-10-29	0	135.8	18.28
1976-10-30	0	132.552	19.81
1976-10-31	0	128.496	21.61
1976-11-01	1.16	124.749	21.68
1976-11-02	13.77	172.756	18.18
1976-11-03	22.27	214.224	14.05
1976-11-04	4.92	166.012	14.27
1976-11-05	8.19	187.645	14.43
1976-11-06	2.69	176.555	15.91
1976-11-07	0	143.888	17.89
1976-11-08	1.89	129.785	22.3
1976-11-09	0.8	124.488	24.31
1976-11-10	0.83	119.537	27.19
1976-11-11	1.26	115.002	27.27
1976-11-12	8.69	138.044	28.17
1976-11-13	2.66	117.859	24.65
1976-11-14	9.45	127.02	23.13
1976-11-15	23.96	181.872	15.18
1976-11-16	20.48	339.174	15.3
1976-11-17	17.59	301.065	14.07
1976-11-18	6.13	268.684	13.59
1976-11-19	6.52	232.846	14.54
1976-11-20	1.99	212.755	18.3
1976-11-21	0	173.62	18.5
1976-11-22	2.92	169.974	15.51
1976-11-23	0.39	168.253	17.37
1976-11-24	0.38	148.925	21.94
1976-11-25	2.24	142.555	24.43
1976-11-26	19.24	199.946	21.11
1976-11-27	0.43	148.838	22.13
1976-11-28	0	137.303	22.55
1976-11-29	0.84	133.819	26.71
1976-11-30	12.16	188.18	18.58
1976-12-01	1.82	148.205	19.41
1976-12-02	0	137.944	20.23
1976-12-03	0.14	130.065	21.17
1976-12-04	4.97	128.225	17.05
1976-12-05	4.96	139.796	19.6
1976-12-06	4.21	134.048	26.95
1976-12-07	0.41	122.197	21.44
1976-12-08	0.41	121.135	25.5
1976-12-09	0.23	115.316	23.91
1976-12-10	0.77	111.03	26.21
1976-12-11	0.74	110.991	23.23
1976-12-12	3.61	106.607	19.31
1976-12-13	10.26	112.861	21.21
1976-12-14	6.04	136.097	29.01
1976-12-15	6.35	113.363	18.59
1976-12-16	21.01	128.703	17.77
1976-12-17	11.06	203.2	18.59
1976-12-18	1.52	156.497	20.41
1976-12-19	0.56	131.501	22.84
1976-12-20	0.59	120.204	29.25
1976-12-21	0.01	108.865	33.1
1976-12-22	0.21	102.245	33.99
1976-12-23	8.01	97.359	16.61
1976-12-24	12.29	113.689	21.33
1976-12-25	0	151.301	26.25
1976-12-26	0	106.821	21.91
1976-12-27	0.02	99.074	22.14
1976-12-28	0	97.612	25.28
1976-12-29	0.61	96.295	25.34
1976-12-30	0	95.472	29.98
1976-12-31	0.47	92.58	35.32
1977-01-01	6.95	82.564	21.11
1977-01-02	11.67	105.883	18.93
1977-01-03	8.68	132.09	20.08
1977-01-04	0	105.06	22.6
1977-01-05	0	93.986	25.48
1977-01-06	0	90.322	28.66
1977-01-07	0	86.274	32.3
1977-01-08	0	83.865	33.11
1977-01-09	0	80.591	36.31
1977-01-10	0	78.914	29.23
1977-01-11	0	74.965	26.88
1977-01-12	0	75.927	30.78
1977-01-13	0	75.808	28.11
1977-01-14	11.22	75.275	23.58
1977-01-15	60.42	125.998	26.08
1977-01-16	7.05	315.869	25.46
1977-01-17	18.36	137.531	20.66
1977-01-18	8.4	97.696	23.53
1977-01-19	4.91	156.275	25.67
1977-01-20	0.13	108.94	31.51
1977-01-21	2.2	88.114	23.57
1977-01-22	0	83.52	23.33
1977-01-23	0.04	80.68	21.32
1977-01-24	0.28	78.314	21.59
1977-01-25	0.02	75.022	23.35
1977-01-26	0	75.293	24.13
1977-01-27	0	73.278	28.48
1977-01-28	0	71.09	30.81
1977-01-29	0	68.362	35.81
1977-01-30	0	64.973	27.36
1977-01-31	0	67.197	32.38
1977-02-01	0.09	65.016	22.88
1977-02-02	0.07	63.724	25.17
1977-02-03	0	74.76	29.77
1977-02-04	0	98.328	31.11
1977-02-05	0.96	72.104	27.15
1977-02-06	22.9	67.379	21.27
1977-02-07	5.49	64.253	27
1977-02-08	1.73	61.73	29.67
1977-02-09	0	59.575	33.3
1977-02-10	0.02	57.833	30.81
1977-02-11	0	57.127	33.87
1977-02-12	0.03	58.266	32.86
1977-02-13	0.96	59.351	28.72
1977-02-14	0.24	56.623	30.43
1977-02-15	0	54.894	32.12
1977-02-16	0	58.738	33.67
1977-02-17	0	93.576	36.71
1977-02-18	2.5	63.666	23.51
1977-02-19	9.38	60.299	25.02
1977-02-20	0	60.558	27.74
1977-02-21	4.97	59.916	24.8
1977-02-22	0	61.074	19.88
1977-02-23	0	83.447	25.33
1977-02-24	0.17	120.972	27.17
1977-02-25	9.12	122.528	21.08
1977-02-26	12.69	74.764	19.1
1977-02-27	0.69	70.566	22.01
1977-02-28	5.88	70.566	20.31
1977-03-01	5.39	70.566	22.89
1977-03-02	0.54	87.714	23.71
1977-03-03	0	74.08	27.41
1977-03-04	0.1	66.669	20.3
1977-03-05	1.18	64.69	25.52
1977-03-06	1.51	68.38	21.81
1977-03-07	0.97	67.285	21.33
1977-03-08	0.02	66.246	25.24
1977-03-09	0	63.318	27.47
1977-03-10	0	61.007	28.52
1977-03-11	0.01	60.446	29.86
1977-03-12	0.68	58.943	22.95
1977-03-13	0	58.657	24.13
1977-03-14	0.59	57.259	29.5
1977-03-15	0.3	55.545	19
1977-03-16	10.13	54.122	18.51
1977-03-17	0	76.471	21.41
1977-03-18	1.91	64.897	19.72
1977-03-19	0.04	60.168	21.93
1977-03-20	0	63.673	21.73
1977-03-21	0	59.533	22.23
1977-03-22	0	58.005	24.28
1977-03-23	0	56.284	20.1
1977-03-24	1.14	54.256	16.64
1977-03-25	3.79	52.768	19.83
1977-03-26	9.15	60.021	15.45
1977-03-27	11.8	68.326	17.49
1977-03-28	14.26	95.148	18.55
1977-03-29	0.9	111.488	18.46
1977-03-30	1.81	84.47	20.86
1977-03-31	16.47	70.533	19.79
1977-04-01	0	84.949	17.28
1977-04-02	0	67.641	19.72
1977-04-03	0	63.943	20.9
1977-04-04	0	62.272	21.31
1977-04-05	0	60.699	26.11
1977-04-06	0.04	58.534	15.9
1977-04-07	0	65.038	12.88
1977-04-08	96.97	417.21	13.11
1977-04-09	9.76	296.288	14.52
1977-04-10	0	103.337	16.13
1977-04-11	2.05	80.101	17.49
1977-04-12	0	72.536	17.03
1977-04-13	0.47	69.09	16.5
1977-04-14	0	66.375	16.95
1977-04-15	0	64.927	16.13
1977-04-16	0.23	64.328	17.05
1977-04-17	4.24	74.282	15.11
1977-04-18	2.86	72.565	15.5
1977-04-19	0	64.684	17.51
1977-04-20	0	62.787	18.06
1977-04-21	0	61.483	18.55
1977-04-22	0	60.189	18.45
1977-04-23	0	59.324	15.04
1977-04-24	0	59.306	14.36
1977-04-25	0.08	58.523	13.92
1977-04-26	1.9	61.655	14.99
1977-04-27	0.87	62.961	17.45
1977-04-28	0.61	59.377	16.53
1977-04-29	12.67	93.014	11.91
1977-04-30	1.86	80.8	12.23
1977-05-01	4.01	72.54	15.35
1977-05-02	3.28	88.699	16.25
1977-05-03	0	86.981	16.92
1977-05-04	0	68.143	18.51
1977-05-05	0	64.279	17.71
1977-05-06	22.53	61.858	16.47
1977-05-07	0.07	131.716	16.44
1977-05-08	0	89.162	15.83
1977-05-09	0.93	70.628	15.35
1977-05-10	1.9	67.566	11.95
1977-05-11	3.39	68.044	11.76
1977-05-12	0.12	72.85	13.87
1977-05-13	0.97	69.562	14.82
1977-05-14	6.46	65.951	16.14
1977-05-15	0.97	77.2	16
1977-05-16	1.4	72.582	16.3
1977-05-17	0	64.125	12.76
1977-05-18	1.5	62.443	12.15
1977-05-19	1.28	63.369	15.35
1977-05-20	0.55	65.719	14.57
1977-05-21	19.56	64.871	9.75
1977-05-22	4.06	157.494	9.24
1977-05-23	9.47	131.599	9.93
1977-05-24	12.32	89.781	9.53
1977-05-25	14.7	182.718	11.8
1977-05-26	2.6	165.196	13.26
1977-05-27	2.83	105.167	8.65
1977-05-28	6.24	95.635	10.94
1977-05-29	8.58	102.002	8.65
1977-05-30	13.46	128.938	7.31
1977-05-31	24.42	190.067	4.35
1977-06-01	37.53	426.655	7.53
1977-06-02	23.16	726.022	11.55
1977-06-03	30.16	615.365	12.03
1977-06-04	0.99	341.989	11.58
1977-06-05	0.04	223.362	11.52
1977-06-06	0.7	182.912	12.35
1977-06-07	0	164.282	11.97
1977-06-08	18.81	256.519	9.72
1977-06-09	5.48	247.817	8.66
1977-06-10	3.02	185.699	10.71
1977-06-11	4.93	167.183	10.03
1977-06-12	4.07	179.676	9.41
1977-06-13	6.13	187.153	9.81
1977-06-14	0	163.595	8.8
1977-06-15	0.25	147.919	8.27
1977-06-16	11.94	192.949	9.98
1977-06-17	19.97	315.556	10.19
1977-06-18	29.71	492.712	9.13
1977-06-19	41.15	1138.445	11.11
1977-06-20	29.27	768.395	12.37
1977-06-21	0	404.202	10.23
1977-06-22	0	310.483	8.52
1977-06-23	0.04	266.41	8.1
1977-06-24	1.19	242.849	9.23
1977-06-25	18.36	365.938	10.61
1977-06-26	9.47	463.07	10.68
1977-06-27	12.45	291.806	6.49
1977-06-28	13.58	366.888	7.35
1977-06-29	34.34	672.559	8.5
1977-06-30	31.43	828.948	7.04
1977-07-01	7	858.065	7.91
1977-07-02	0.07	783.42	7.88
1977-07-03	0	465.462	7
1977-07-04	0	384.226	8.84
