Year	Month	MeanMaxTemp
1928	4	23.7
1928	5	20.2
1928	6	16.9
1928	7	16
1928	8	17.3
1928	9	17.4
1928	10	18.8
1928	11	25
1928	12	28.2
1929	1	29.6
1929	2	30.1
1929	3	26.7
1929	4	21.9
1929	5	18.5
1929	6	16.4
1929	7	15.4
1929	8	16.6
1929	9	19
1929	10	21.7
1929	11	23.4
1929	12	28.1
1930	1	31.5
1930	2	30.7
1930	3	29.7
1930	4	25.1
1930	5	20.8
1930	6	18.2
1930	7	15.7
1930	8	16.7
1930	9	18.4
1930	10	21.1
1930	11	24.4
1930	12	26.3
1931	1	31
1931	2	28.1
1931	3	28.3
1931	4	23.4
1931	5	18
1931	6	14.7
1931	7	15.8
1931	8	16.5
1931	9	16.3
1931	10	22.3
1931	11	25.9
1931	12	32.6
1932	1	31.6
1932	2	31.6
1932	3	26.6
1932	4	23.3
1932	5	20.3
1932	6	17.3
1932	7	16.1
1932	8	15.9
1932	9	19.8
1932	10	21.9
1932	11	24.9
1932	12	29.5
1933	1	31.5
1933	2	33.9
1933	3	28.1
1933	4	25.6
1933	5	20.1
1933	6	17.7
1933	7	16
1933	8	17
1933	9	19.8
1933	10	20.4
1933	11	26.4
1933	12	29.1
1934	1	31.7
1934	2	31.5
1934	3	28.4
1934	4	24.1
1934	5	21.5
1934	6	17.1
1934	7	16.6
1934	8	18.1
1934	9	18.4
1934	10	20.4
1934	11	24.1
1934	12	27.7
1935	1	31.1
1935	2	30.1
1935	3	27.4
1935	4	24.6
1935	5	20.5
1935	6	16.7
1935	7	15.5
1935	8	17.6
1935	9	17.4
1935	10	20.4
1935	11	24.1
1935	12	28.7
1936	1	28.7
1936	2	29.6
1936	3	29.9
1936	4	24.7
1936	5	19
1936	6	16.8
1936	7	16.5
1936	8	17.1
1936	9	19.6
1936	10	19.7
1936	11	25.5
1936	12	27.5
1937	1	29.4
1937	2	29.7
1937	3	27
1937	4	26.4
1937	5	18.9
1937	6	17.3
1937	7	16.9
1937	8	17
1937	9	19.1
1937	10	21.3
1937	11	25.8
1937	12	27.1
1938	1	30.5
1938	2	29.7
1938	3	26.3
1938	4	23.3
1938	5	19.6
1938	6	16.8
1938	7	16.2
1938	8	17.1
1938	9	20.6
1938	10	21.2
1938	11	25.1
1938	12	27.8
1939	1	27.9
1939	2	30.4
1939	3	27.9
1939	4	24.9
1939	5	20
1939	6	17.1
1939	7	16.1
1939	8	16.2
1939	9	20
1939	10	21.7
1939	11	23.8
1939	12	29.8
1940	1	29.3
1940	2	32.5
1940	3	27.7
1940	4	24.6
1940	5	19.9
1940	6	18.4
1940	7	16.6
1940	8	18.9
1940	9	19.9
1940	10	20.9
1940	11	27.3
1940	12	27.6
1941	1	31.6
1941	2	31.2
1941	3	26.9
1941	4	23.4
1941	5	21.3
1941	6	17.7
1941	7	16.6
1941	8	17.8
1941	9	17.6
1941	10	21.5
1941	11	23.8
1941	12	29.3
1942	1	30.3
1942	2	30.3
1942	3	25.5
1942	4	24
1942	5	19.6
1942	6	16.5
1942	7	16.3
1942	8	16.4
1942	9	17.3
1942	10	19.3
1942	11	26.7
1942	12	29.4
1943	1	28.7
1943	2	29.6
1943	3	26.7
1943	4	21.8
